"Response Variable","C_Bare"
"Tree Complexity","20"
"Learning Rate","0.001"
"Bag Fraction","0.5"
"Number of Trees","3400"
"Validation Percent Deviance Explained","43.7153389104672"
"AUC","0.897736931576711"
"Bias","0.013122635079619"
"MAE","0.237117202497879"
"RMSE","0.330792676737066"
"Moran's I","0.0739542607769512"
