"Response Variable","LC_Stagh"
"Tree Complexity","3"
"Learning Rate","0.001"
"Bag Fraction","0.5"
"Number of Trees","1950"
"Validation Percent Deviance Explained","29.2635283290599"
"AUC","0.938368055555556"
"Bias","0.00125051680646688"
"MAE","0.0350993662440928"
"RMSE","0.129738190283625"
"Moran's I","0.431313996791587"
