"Response Variable","LC_Ipal"
"Tree Complexity","3"
"Learning Rate","0.001"
"Bag Fraction","0.75"
"Number of Trees","1800"
"Validation Percent Deviance Explained","27.3114574342294"
"AUC","0.896812678062678"
"Bias","0.0040134331961249"
"MAE","0.0635729074388883"
"RMSE","0.183652322638539"
"Moran's I","0.794371200430318"
