"Response Variable","LC_OthBranCol"
"Tree Complexity","2"
"Learning Rate","0.01"
"Bag Fraction","0.75"
"Number of Trees","850"
"Validation Percent Deviance Explained","12.7794549092474"
"AUC","0.794903621495327"
"Bias","-0.0366062756233546"
"MAE","0.211195625377564"
"RMSE","0.314163818543124"
"Moran's I","7.96133670100119e-09"
