"Response Variable","LC_OthBran"
"Tree Complexity","10"
"Learning Rate","0.005"
"Bag Fraction","0.5"
"Number of Trees","500"
"Validation Percent Deviance Explained","15.8929212431433"
"AUC","0.794392523364486"
"Bias","-0.024335747278425"
"MAE","0.202953059519746"
"RMSE","0.308505593987221"
"Moran's I","7.1912291232934e-08"
